person,job,label,theme,text,date,lemmatized_text
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על אמון הציבור במערכת המשפט,"במדד של אוניברסיטת חיפה ובסקר של המכון הישראלי לדמוקרטיה אפשר לראות שב-15-10 שנים האחרונות ישנה שחיקה מתמדת - אמון הציבור יורד גם בבית המשפט, גם בפרקליטות המדינה, במוסד הייעוץ המשפטי לממשלה",2019-04-21,"ב ה מדד של אוניברסיטה חיפה ו ב ה סקר של ה מכון ה ישראלי ל ה דמוקרטיה אפשר ראה שב 15 10 שנה ה אחרון יש שחיקה מתמיד אמון ה ציבור ירד גם ב בית ה משפט , גם ב פרקליט ה מדינה , ב מוסד ה ייעוץ ה משפטי ל ה ממשלה"
יובל שטייניץ,שר האנרגיה הליכוד,0,"על עומס התיקים על בג""ץ","[צריך] לרסן את האקטיביזם השיפוטי, שלא קיים בשום מדינה אחרת ברמות כאלה [...] בארהב יש 330 מיליון תושבים, ובית המשפט העליון דן בממוצע בכל שנה ב-70 עתירות. בישראל רק 8.5 מיליון תושבים. בית המשפט העליון דן ב-3,000 עד 4,000 תיקים",2019-04-18,"צריך ריסן את ה אקטיביזם ה שיפוט , ש לא קיים ב שום מדינה אחר ב רמה כ ה אלה ... ב ארה""ב יש 330 מיליון תושב , ו בית ה משפט ה עליון דן בממוצע ב כול שנה ב 70 עתירה . בישראל רק 8.5 מיליון תושב . בית ה משפט ה עליון דן ב 3,000 עד 4,000 תיק"
ניר ברקת,חבר כנסת הליכוד,5,"על שיעורי הגיוס לצה""ל בבירה","בירושלים, במגזר הכללי, ממלכתי, ממלכתי-דתי, אחוז הגיוס בשנים האחרונות, תחת תפקידי, עלה מ-70% ל-90%",2019-04-17,"ב ירושלים , ב ה מגזר ה כללי , ממלכתי , ממלכתי דתי , אחוז ה גיוס ב ה שנה ה אחרון , תחת תפקיד , עלה מ 70 ל 90"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על האיסור לקיים אירועים שמדירים נשים,אין שום הנחיית יועמש כזו. ואם יש אז היא בלתי חוקית. החוק מאפשר באופן מפורש קיום אירוע כזה לציבור הדתי,2019-04-14,אין שום הנחיה יועמש כ ה זו . ו אם יש אז הוא בלתי חוקי . ה חוק אפשר ב אופן מפורש קיום אירוע כ ה זה ל ה ציבור ה דתי
יובל שטייניץ,שר האנרגיה הליכוד,2,על יציבות ממשלות הליכוד,״דווקא ממשלות צרות יותר - ממשלות ימין יחסית צרות החזיקו מעמד והיו [...] לא פחות יציבות ואולי יותר יציבות מממשלות איחוד גדולות״.,2019-04-10,דווקא ממשלה צר יותר ממשלה ימין יחסי צר החזיק מעמד ו היה ... לא פחות יציב ו אולי יותר יציבה מ ממשלה איחוד גדול .
עודד פורר,חבר כנסת ישראל ביתנו,4,על מחויבות הליכוד להפלת חמאס,אני אפנה אותך כמעט לכל ההסכמים הקואליציוניים שכתב הליכוד: מאז 2009 ברובם ככולם מופיע סעיף מיגור שלטון החמאס,2019-04-10,הוא פינה את אתה כמעט ל כול ה הסכם ה קואליציוני ש כתב ה ליכוד מ אז 2009 ב רובה כ ה כולם הופיע סעיף מ גר ש ל ה טון ה חמאס
יעקב ליצמן,שר הבריאות יהדות התורה,1,על פועלו בתחום הבריאות,מפלגת יהדות התורה היא המפלגה היחידה שבהסכם הקואליציוני הקודם דאגה לבריאות,2019-04-07,מפלגה יהדות ה תורה הוא ה מפלגה ה יחיד ש ב ה הסכם ה קואליציוני ה קודם דאג ל ה בריאות
יעקב ליצמן,סגן שר הבריאות יהדות התורה,4,על המחסור במיטות אשפוז בבתי חולים,"ארבע שנים הוספתי כל שנה 200 מיטות למערכת הבריאות בבתי חולים ממשלתיים. מעבר לכך, הוספתי גם בית חולים באמצע קדנציה באשדוד, אסותא, 350 מיטות",2019-04-07,"ארבע שנה הוסף כול שנה 200 מיטה ל מערכה ה בריאות ב בית חלה ממשלתי . מעבר ל כך , הוסף גם בית חולי ב אמצע קדנציה ב אשדוד , אסותא , 350 מיטה"
בנימין נתניהו,ראש הממשלה הליכוד,4,על חלקו בהקמת כביש 6,"לפני כמה שנים לא היה פה כלום - לא היו כבישים, לא היו מחלפים. כביש 6 היום 180 קמ, אתה נוסע צפון, דרום - איפה היה דבר כזה?",2019-04-04,"לפני כמה שנה לא היה פה כלום לא היה כביש , לא היה מחלף . כביש 6 היום 180 קמ , הוא נסע צפון , דרום איפה היה דבר כ ה זה ?"
אריה דרעי,"שר הפנים ש""ס",3,על עזיבתם של מבקשי מקלט ומהגרים מאפריקה את ישראל,"בקדנציה שלי, בארבע השנים הללו, למעלה מ-20 אלף מסתננים עזבו מרצון [...] אנחנו במגמת ירידה כל הזמן",2019-04-02,"ב ה קדנציה של אני , ב ארבע ה שנה הללו , למעלה מ 20 אלף הסתנן עזב מ רצון ... הוא ב מגמה ירידה כול ה זמן"
אבי ניסנקורן,מועמד כחול-לבן לכנסת,5,על התוצר של ישראל בזמן כהונת נתניהו,"אנחנו בירידת תוצר. אנחנו, בתוצר מול מדינות מתקדמות - בירידה",2019-04-02,"הוא ב ירידה תוצר . הוא , ב ה תוצר מול מדינה מתקדם ב ה ירידה"
צבי האוזר,חבר כנסת כחול לבן,2,על ההתיישבות בגולן,"ממשלות ישראל, מאז החלת החוק [הישראלי], לא בונות ברמת הגולן. ברמת הגולן יש פחות מ-25 אלף מתיישבים, זה קצב אכלוס של שני בניינים בגבעת שמואל בשנה...",2019-03-28,"ממשלה ישראל , מ אז החלה ה חוק ה ישראלי , לא בנה ב רמה ה גולן . ב רמה ה גולן יש פחות מ 25 אלף מתיישב , זה קצב אכלוס של שני בניין ב גבעה שמואל ב ה שנה ..."
משה פייגלין,"יו""ר מפלגת זהות זהות",5,על יעילות ניהול הכספים של הביטוח הלאומי,פחות מ-50% מהסכום שאנחנו משלמים כביטוח לאומי חוזר בצורה של קצבאות ושירות לאזרח,2019-03-28,פחות מ 50 מ ה סכום ש הוא שילם כ ביטוח לאומי חזר ב צורה של קצבה ו שירות ל ה אזרח
"ישראל כ""ץ","שר התחבורה ומ""מ שר החוץ הליכוד",5,"על דו""ח מבקר המדינה בנושא ההתקשרות בין החברה של בני גנץ למשטרה",אני יודע שכתוב שיש שם חשד לעבירות פליליות,2019-03-28,הוא ידע ש כתב ש יש שם חשד ל עבירה פלילי
בנימין נתניהו,ראש הממשלה הליכוד,5,על מימון הוצאותיו המשפטיות,כל איש ציבור בישראל קיבל את האפשרות לבקש תמיכה ועזרה מול מאמץ כביר שמשקיעים נגדי,2019-03-23,כול איש ציבור ב ישראל קיבל את ה אפשרות ביקש תמיכה ו עזרה מול מאמץ כביר ש השקיע נגד אני
בנימין נתניהו,ראש הממשלה הליכוד,5,על המניות שהחזיק בעת שכיהן כחבר כנסת,"כשאני מחזיק [מניות] כחכ, זה משול להחזקה כאזרח פרטי",2019-03-23,"כש הוא החזיק מנייה כ ה חכ , זה משל ל החזקה כ אזרח פרטי"
יובל שטייניץ,שר האנרגיה הליכוד,4,על הפקת אנרגיה מגז טבעי,"למעשה, גז טבעי - אפס זיהום. הפחם הורג, הגז הטבעי מציל חיים",2019-03-19,"למעשה , גז טבע אפס זיהום . ה פחם הרג , ה גז ה טבעי הציל חיים"
נפתלי בנט,שר החינוך ימינה,5,על שיטת מינוי השופטים בישראל,רק במדינת ישראל שופטי עליון מעורבים במינוי שופטי עליון,2019-03-18,רק ב מדינה ישראל שופט עליון מעורב ב מינוי שופט עליון
נפתלי בנט,שר החינוך ימינה,5,על הקטנת מספר התלמידים בכיתות בתקופתו במשרד החינוך,"היה קודם בערך 40 ילדים בכיתה, היום הממוצע הארצי זה 27 ילדים",2019-03-18,"היה קדם ב ערך 40 ילד ב ה כיתה , ה יום ה ממוצע ה ארצי זה 27 ילד"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על גודל האוכלוסייה הפלסטינית ביהודה ושומרון,יש בערך 1.8 מיליון ערבים שחיים ביהודה ושומרון,2019-03-18,יש ב ערך 1.8 מיליון ערבי ש חיים ב ה יהודה ו שומרון
משה גפני,יושב ראש ועדת הכספים יהדות התורה,4,על בנייה ייעודית לציבור החרדי,איזו עיר חרדית או שכונה חרדית בנתה מדינת ישראל בשלושים שנה האחרונות עבור הציבור החרדי?,2019-03-17,איזה עיר חרדי או שכונה חרדי בנה מדינה ישראל ב שלושים שן ה אחרון עבור ה ציבור ה חרדי ?
אמיר אוחנה,השר לבטחון פנים הליכוד,0,על אזרחים הרוגים בעקבות פעילות טרור מעזה,"נכון, יש טילים מעזה [...] אני אגיד לך מה עוד יש מעזה - חמש שנים מאז צוק איתן של אפס אזרחים ישראלים הרוגים. זה חסר תקדים מאז 1967!",2019-03-17,"נכון , יש טיל מ עז ... הוא הגיד ל אתה מה עוד יש העז חמש שנה מ אז צוק איתן של אפס אזרח ישראלי הרג . זה חסר תקדים מ אז 1967 !"
"ישראל כ""ץ",שר התחבורה הליכוד,2,על תקציב התחבורה הציבורית,ההשקעה בתחבורה הציבורית מבחינת סכומי כסף גבוהה מזה שמשקיעים בכבישים,2019-03-13,ה השקעה ב ה תחבורה ה ציבורי מ בחינה סכום כסף גבוה מ זה ש השקיע ב ה כביש
אבי ניסנקורן,"יו""ר ההסתדרות ומועמד בכחול לבן",1,על גישתו להשבתת המשק,אני יור ההסתדרות שבתקופה שלו - ותבדקו אותי - היו מספר ימי השביתה המינימליים בעשרים שנה האחרונות,2019-03-12,הוא יור ה הסתדרות ש ב תקופה של הוא ו בדק את אני היה מספר יום ה שביתה ה מינימאלי ב עשרים שן ה אחרון
משה פייגלין,"יו""ר מפלגת זהות זהות",3,על הבעיה במערכת החינוך,"תקציב החינוך מגיע לסכום פנומנלי של למעלה מ-3,000 שח לתלמיד לחודש [...] במבחני ההשוואה הבינלאומיים, תלמידי ישראל נמצאים במקומות האחרונים במערב, כשההשקעה היא בין הראשונים בעולם",2019-03-11,"תקציב ה חינוך הגיע ל סכום פנומנלי של למעלה מ 3,000 שח ל ה תלמיד ל חודש ... ב מבחן ה השוואה ה בינלאומי , תלמיד ישראל נמצא ב ה מקום ה אחרון ב ה מערב , כש ה השקעה הוא בין ה ראשונים ב ה עולם"
